VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,01/26/2020 04:57:00 AM,01/26/2020 05:33:00 AM,1,2.305429456152023,1,N,53,124,4,0.0,3.3222167083315832,0.39920610303535803,0.0,2.495012138129767,0.3,11.598246736547077,2.5
2,01/26/2020 03:56:00 PM,01/26/2020 04:10:00 PM,0,0.6345536599699919,1,N,153,266,1,10.232909040418038,0.0,0.6557677792069512,3.823339581120799,1.0631731219349652,0.3,17.9409785498123,2.5
2,01/26/2020 10:26:00 PM,01/26/2020 10:34:00 PM,1,0.0,1,N,179,171,1,27.844364049931798,0.936206506191916,0.4224695076882323,3.1587108467607217,0.0,0.3,0.9294840205078643,2.5
1,01/26/2020 11:33:00 AM,01/26/2020 12:21:00 PM,0,0.0,1,N,222,222,2,30.542141483341034,0.8180052079736477,0.5933595965703892,0.0,2.6302080978808,0.3,9.004775886548524,2.5
1,01/26/2020 02:56:00 PM,01/26/2020 03:12:00 PM,1,6.164272576489583,1,N,133,153,1,2.673768695320341,2.1833180157487053,0.4434389812210069,2.6529571845631925,2.799884783953105,0.3,37.03055970679481,2.5
1,01/26/2020 02:05:00 PM,01/26/2020 02:37:00 PM,1,3.4146825107957812,1,N,236,47,2,22.398673905730014,0.7206341926409245,0.5950165854754147,1.0998432558392826,1.3087463210817285,0.3,40.31233221490413,2.5
1,01/26/2020 06:58:00 AM,01/26/2020 07:18:00 AM,0,11.51275532555243,1,N,132,153,3,5.535547761318535,4.896904395673262,0.4377039043451677,0.0,0.0,0.3,14.51085987396781,2.5
1,01/26/2020 08:40:00 PM,01/26/2020 09:08:00 PM,1,0.0,1,N,291,174,1,25.176343180692662,1.2386459608954696,0.5006991709007323,1.215325247087114,0.334867766592152,0.3,14.41861530041066,2.5
1,01/26/2020 09:32:00 PM,01/26/2020 09:48:00 PM,2,5.870648093886448,1,N,299,214,2,28.677312647223598,2.6800535984242577,0.3823383805690579,10.582391951124826,0.0,0.3,17.937291374735306,2.75
2,01/26/2020 08:52:00 PM,01/26/2020 09:46:00 PM,1,5.208605662658114,1,N,138,175,1,22.083075295213824,0.9096029618914953,0.4247695347584022,0.0,1.2626448623094682,0.3,28.442914430968624,2.5
2,01/26/2020 05:38:00 PM,01/26/2020 05:45:00 PM,1,1.6945051092105274,1,N,217,142,1,25.888386506823892,0.003371377746988591,0.5493499518805796,6.089067581137147,0.0,0.3,29.874113705603833,2.5
1,01/26/2020 04:29:00 AM,01/26/2020 05:06:00 AM,1,6.3382919730363625,1,Y,265,261,1,6.312994024636716,0.4979258377456067,0.4412389711148765,0.0,0.4051246835435729,0.3,16.597949323869027,2.5
1,01/26/2020 03:30:00 AM,01/26/2020 04:16:00 AM,8,0.4207944791027294,1,N,139,129,2,18.270835806513176,0.22831605615969086,0.4708641588471121,0.0,1.4655785170075735,0.3,19.699397172766144,2.5
1,01/26/2020 11:31:00 PM,01/27/2020 12:24:00 AM,1,0.0,1,N,250,141,1,0.0,0.0,0.41163456909786716,2.7100863669766615,0.0,0.3,22.27304432219065,2.5
1,01/26/2020 11:03:00 PM,01/26/2020 11:43:00 PM,3,0.0,1,N,148,209,1,4.234611724424127,0.0,0.485246927458876,2.748862145325924,0.0,0.3,0.0,2.5
1,01/26/2020 07:52:00 PM,01/26/2020 08:17:00 PM,1,6.1859478301860555,6,Y,240,16,1,32.80556669798911,0.0,0.603428822882702,0.48211070092265595,0.0,0.3,28.371167780050776,2.5
1,01/26/2020 06:19:00 PM,01/26/2020 06:51:00 PM,1,2.5595919482622183,1,N,121,246,2,16.060473278611383,0.0,0.4590501667851905,2.8507369053524316,0.6273490334206953,0.3,5.457626082635507,2.5
2,01/26/2020 06:37:00 PM,01/26/2020 07:19:00 PM,0,1.8312022520407436,1,N,185,138,2,54.20183372861611,0.19842062151486783,0.49478246916428814,1.936759015410135,0.0,0.3,18.272531325031846,2.5
1,01/26/2020 11:54:00 PM,01/27/2020 12:09:00 AM,2,0.0,1,N,134,184,1,18.231037629144737,0.0,0.4435101383700072,0.0,0.6078516968451368,0.3,21.91704692811643,2.5
1,01/26/2020 06:33:00 AM,01/26/2020 06:54:00 AM,1,3.709270116191533,1,N,127,151,1,29.294517234287305,0.0,0.5594903603766919,0.0,0.0,0.3,20.428132068337007,2.5
1,01/26/2020 09:11:00 AM,01/26/2020 09:29:00 AM,4,4.726678543954906,1,N,116,104,1,7.333289397997347,0.0,0.5062082268156043,2.4399042866810032,1.328684993031711,0.3,13.480930667758098,2.5
2,01/26/2020 09:48:00 PM,01/26/2020 10:20:00 PM,1,0.0,1,N,141,78,1,7.694041939514147,3.1428889930154584,0.5660741470363967,7.808352436577518,0.3016308102569077,0.3,40.08831932991181,2.5
1,01/26/2020 09:33:00 PM,01/26/2020 10:19:00 PM,2,0.0,1,N,181,147,1,21.65140916896445,1.3479624461733049,0.5022421707234385,7.741686339261342,1.5716775193917671,0.3,9.266372649743188,2.5
2,01/26/2020 09:18:00 AM,01/26/2020 09:47:00 AM,2,1.59453334247236,1,N,165,148,1,32.61288087876474,0.5206438224113491,0.5720717554661768,0.6345024456235728,0.0,0.3,4.859815487048468,2.5
1,01/26/2020 08:33:00 AM,01/26/2020 08:53:00 AM,1,0.6248996154032174,1,N,101,231,1,0.6591995059149589,0.0,0.5950311794869876,3.759982854975911,0.9826622083500149,0.3,32.538969141966646,2.5
1,01/26/2020 05:57:00 AM,01/26/2020 06:42:00 AM,2,2.635227743140585,1,N,180,246,1,0.0,1.7380539089103102,0.5763935881087403,1.4163230511775806,1.9176786176498526,0.3,46.42001025774249,2.5
1,01/26/2020 09:18:00 AM,01/26/2020 09:47:00 AM,3,0.0,1,N,188,141,2,21.107111248477878,1.1609910710827938,0.5190609684402427,0.9258417907785832,1.003787552450839,0.3,11.72730721640687,2.5
1,01/26/2020 08:19:00 PM,01/26/2020 09:13:00 PM,1,0.0,1,Y,99,229,1,23.492379024610152,0.0,0.4422394673566461,5.556925002336038,0.0,0.3,1.3933905927789603,2.5
1,01/26/2020 10:29:00 PM,01/26/2020 11:14:00 PM,5,0.0,1,N,146,232,1,4.579840715961973,0.09423791208322507,0.6293886897182055,2.755400133512462,0.0,0.3,4.002104341293986,2.5
2,01/26/2020 01:36:00 PM,01/26/2020 02:07:00 PM,2,0.0,1,N,58,79,1,16.626379679334615,1.202304586487362,0.3660595256425099,1.858180254038259,0.9294035132602115,0.3,5.31738694358029,2.75
2,01/26/2020 08:39:00 AM,01/26/2020 09:02:00 AM,0,0.0,4,N,195,161,1,21.852865025091784,3.6365399123342192,0.43831941009054726,2.03651189459701,0.0,0.3,24.330114574502566,2.5
1,01/26/2020 05:50:00 AM,01/26/2020 06:08:00 AM,1,0.0,1,N,226,241,2,13.163679144426004,0.5549773075183827,0.5030165484978677,0.0,0.0,0.3,23.91712845230343,2.5
2,01/26/2020 02:05:00 AM,01/26/2020 02:59:00 AM,2,4.232472748012044,1,Y,264,300,1,7.595157135002834,1.0313621870444325,0.31123224192073323,3.6179363858202938,3.463431385093367,0.3,49.636236305837414,2.5
1,01/26/2020 01:45:00 PM,01/26/2020 02:22:00 PM,4,2.1309013866783166,1,N,97,127,2,0.0,3.891071573577105,0.528231019264313,0.0,0.0,0.3,9.953335806150026,2.5
1,01/26/2020 08:06:00 AM,01/26/2020 08:55:00 AM,3,0.0,1,N,159,285,1,25.21204042909749,1.733978462729833,0.4590470468216907,1.0867684238661734,1.8721251290901555,0.3,26.873212197917233,2.5
2,01/26/2020 11:14:00 AM,01/26/2020 11:45:00 AM,1,12.372231104955134,1,N,165,312,1,0.0,0.0,0.47703842363528687,4.3975740987372145,0.3720750097578744,0.3,22.758203656157438,2.5
2,01/26/2020 03:35:00 AM,01/26/2020 04:18:00 AM,5,1.5357373899725435,1,N,229,176,1,11.127761241039114,0.21011349635257492,0.3812466619529021,4.02135304893781,1.0778480719582295,0.3,28.269274246797167,2.5
1,01/26/2020 09:42:00 PM,01/26/2020 10:39:00 PM,2,0.0,1,N,206,132,2,0.0,1.849372966470479,0.34535505743199,5.158168175141414,0.45188591968601743,0.3,24.26486629266182,2.5
1,01/26/2020 02:47:00 PM,01/26/2020 03:05:00 PM,5,5.12094376399326,1,N,128,79,1,26.99282150804028,0.0,0.5064537818497715,1.3920491190582798,0.0,0.3,15.532761559984742,2.5
2,01/26/2020 10:29:00 AM,01/26/2020 10:57:00 AM,2,2.7537949856051815,1,N,145,0,2,25.877942080155304,1.6714028071561655,0.5661834374177298,1.8012284694695975,0.0,0.3,8.828102624432082,2.5
1,01/26/2020 12:59:00 AM,01/26/2020 01:39:00 AM,3,0.0,1,N,149,188,1,9.455242268901895,0.17097127016109404,0.40068436009124053,1.2236245306829643,0.9502106041330172,0.3,18.9951051811128,2.5
1,01/26/2020 01:47:00 PM,01/26/2020 01:56:00 PM,1,7.751191152465561,1,N,21,97,1,8.76377712005214,1.8891046759313508,0.39884447203705664,0.0,2.412765156504703,0.3,0.0,2.5
2,01/26/2020 05:59:00 PM,01/26/2020 06:08:00 PM,1,11.991207768266182,1,N,129,36,1,33.92002960434726,0.5375081611544855,0.4353426749228547,4.926176802194106,2.372963063749704,0.3,21.217931015987304,2.5
1,01/26/2020 08:15:00 AM,01/26/2020 09:05:00 AM,1,8.990105697185694,1,N,192,63,1,24.088043873668546,0.0,0.48744051558635304,0.0,5.000704556591663,0.3,4.561736500666079,2.5
1,01/26/2020 06:21:00 AM,01/26/2020 06:55:00 AM,1,0.0,1,N,88,114,2,9.69040893645103,1.7435950951642316,0.5243749638315782,5.934349416770613,0.0,0.3,43.80487772499284,2.5
2,01/26/2020 03:31:00 AM,01/26/2020 03:51:00 AM,1,0.9621094254456561,3,N,174,100,1,0.0,0.0,0.5452892231638655,4.006849620869686,0.6745647815080031,0.3,22.245070630039915,2.5
1,01/26/2020 10:53:00 AM,01/26/2020 11:36:00 AM,1,6.3894265104296855,1,N,45,202,1,29.837066147506203,2.85565219521342,0.5034891643033693,0.0,0.18890864593335288,0.3,0.0,2.5
1,01/26/2020 10:10:00 PM,01/26/2020 10:16:00 PM,0,3.5427857227123334,1,Y,253,347,1,0.0,0.0,0.44630769504570805,7.27427004494393,0.9642518031332709,0.3,20.152952411974393,2.5
1,01/26/2020 07:37:00 AM,01/26/2020 08:01:00 AM,0,0.0,1,N,271,-15,1,1.2858622112793654,2.0741558644706353,0.5233700329612724,6.231592246192188,0.7143865487535446,0.3,54.163674063065486,2.5
1,01/26/2020 11:03:00 PM,01/26/2020 11:41:00 PM,2,10.489267853089846,1,N,80,86,1,4.46905858412406,0.14689867779963417,0.538948117561033,0.0,0.8511817337451255,0.3,12.546604078169825,2.5
1,01/26/2020 02:38:00 PM,01/26/2020 03:11:00 PM,3,2.5803363143138873,1,N,167,198,1,0.0,0.0,0.44753847986274875,8.974492993617432,0.7866317521338646,0.3,7.236397066735348,2.5
